time,x,y,z,pass,front,left,right,speed
6.892,-0.0355,0.3000,1.2700,1,999.00,0.40,999.00,1.000
7.669,-0.0703,0.6000,1.3400,1,999.00,0.40,999.00,1.000
8.396,-0.1059,0.9000,1.4100,1,999.00,0.41,3.92,1.000
9.167,-0.1412,1.2000,1.4800,1,999.00,0.42,3.95,1.000
10.203,-0.1760,1.5000,1.5500,1,999.00,0.42,3.99,1.000
11.237,-0.2101,1.8000,1.6200,1,999.00,0.42,3.99,1.000
12.264,-0.2427,2.1000,1.6900,1,999.00,0.41,4.05,1.000
16.547,-0.2747,2.4000,1.7600,1,999.00,0.41,4.05,1.000
17.297,-0.3071,2.7000,1.8300,1,999.00,0.42,4.13,1.000
18.061,-0.3389,3.0000,1.9000,1,999.00,0.42,4.13,1.000
18.796,-0.3705,3.3000,1.9700,1,999.00,0.42,4.18,1.000
19.664,-0.3988,3.6000,2.0400,1,999.00,0.40,4.23,1.000
20.416,-0.4265,3.9000,2.1100,1,999.00,0.40,4.23,1.000
21.163,-0.4547,4.2000,2.1800,1,999.00,0.41,4.27,1.000
21.916,-0.4837,4.5000,2.2000,1,999.00,0.42,5.09,1.000
22.904,-0.5137,4.8000,2.1300,1,999.00,0.43,4.33,1.000
23.646,-0.5431,5.1000,2.0600,1,999.00,0.43,4.33,1.000
24.354,-0.5698,5.4000,1.9900,1,999.00,0.42,5.17,1.000
25.552,-0.5971,5.7000,1.9200,1,999.00,0.43,4.44,1.000
26.522,-0.6238,6.0000,1.8500,1,999.00,0.43,4.44,1.000
27.305,-0.6492,6.3000,1.7800,1,999.00,0.42,4.47,1.000
28.157,-0.6742,6.6000,1.7100,1,999.00,0.42,4.47,1.000
28.937,-0.6974,6.9000,1.6400,1,999.00,0.41,4.53,1.000
29.689,-0.7201,7.2000,1.5700,1,999.00,0.41,4.53,1.000
30.420,-0.7413,7.5000,1.5000,1,999.00,0.40,5.47,1.000
31.162,-0.7621,7.8000,1.4300,1,999.00,0.40,5.47,1.000
32.032,-0.7843,8.1000,1.3600,1,999.00,0.42,4.65,1.000
32.685,-0.8061,8.4000,1.2900,1,999.00,0.42,4.65,1.000
33.473,-0.8275,8.7000,1.2200,1,999.00,0.42,4.67,1.000
34.174,-0.8485,9.0000,1.1500,1,999.00,0.42,4.67,1.000
34.886,-0.8696,9.3000,1.0800,1,999.00,0.42,5.70,1.000
35.535,-0.8902,9.6000,1.0100,1,999.00,0.42,5.70,1.000
36.435,-0.9095,9.9000,0.9400,1,999.00,0.41,5.73,1.000
37.259,-0.9284,10.2000,0.8700,1,999.00,0.41,5.74,1.000
38.000,-0.9480,10.5000,0.8000,1,999.00,0.42,5.74,1.000
38.945,-0.9661,10.8000,0.8700,1,999.00,0.41,5.76,1.000
39.640,-0.9839,11.1000,0.9400,1,999.00,0.41,5.76,1.000
40.342,-1.0018,11.4000,1.0100,1,999.00,0.42,5.80,1.000
41.259,-1.0201,11.7000,1.0800,1,999.00,0.42,5.83,1.000
41.910,-1.0379,12.0000,1.1500,1,999.00,0.42,5.85,1.000
42.797,-1.0558,12.3000,1.2200,1,999.00,0.43,5.86,1.000
43.797,-1.0723,12.6000,1.2900,1,999.00,0.42,5.89,1.000
44.580,-1.0884,12.9000,1.3600,1,999.00,0.42,5.89,1.000
45.336,-1.1038,13.2000,1.4300,1,999.00,0.42,5.92,1.000
46.145,-1.1189,13.5000,1.5000,1,999.00,0.42,5.92,1.000
47.004,-1.1354,13.8000,1.5700,1,999.00,0.43,5.90,1.000
47.736,-1.1515,14.1000,1.6400,1,999.00,0.43,5.90,1.000
48.470,-1.1657,14.4000,1.7100,1,999.00,0.42,5.91,1.000
49.191,-1.1796,14.7000,1.7800,1,999.00,0.42,5.91,1.000
50.044,-1.1940,15.0000,1.8500,1,999.00,0.42,5.91,1.000
50.771,-1.2084,15.3000,1.9200,1,999.00,0.42,5.92,1.000
51.517,-1.2220,15.6000,1.9900,1,999.00,0.42,5.91,1.000
52.502,-1.2352,15.9000,2.0600,1,999.00,0.42,5.91,1.000
53.209,-1.2481,16.2000,2.1300,1,999.00,0.42,5.91,1.000
54.008,-1.2617,16.5000,2.2000,1,999.00,0.43,5.90,1.000
54.911,-1.2748,16.8000,2.1300,1,999.00,0.42,5.91,1.000
55.613,-1.2877,17.1000,2.0600,1,999.00,0.42,5.91,1.000
56.597,-1.2988,17.4000,1.9900,1,999.00,0.41,5.94,1.000
57.496,-1.3097,17.7000,1.9200,1,999.00,0.41,5.94,1.000
58.241,-1.3199,18.0000,1.8500,1,7.89,0.41,5.99,1.000
59.115,-1.3299,18.3000,1.7800,1,7.89,0.41,5.99,1.000
60.051,-1.3399,18.6000,1.7100,1,7.11,0.41,6.03,1.000
60.778,-1.3497,18.9000,1.6400,1,7.11,0.41,6.03,1.000
61.498,-1.3617,19.2000,1.5700,1,6.70,0.43,6.07,1.000
62.374,-1.3740,19.5000,1.5000,1,5.92,0.43,6.12,1.000
63.045,-1.3860,19.8000,1.4300,1,5.92,0.43,6.12,1.000
68.144,-1.3955,20.0857,1.3600,1,4.83,0.42,6.16,0.952
68.983,-1.4048,20.3713,1.2900,1,4.83,0.42,6.16,0.952
69.692,-1.4144,20.5649,1.2200,1,3.73,0.42,6.21,0.645
70.492,-1.4237,20.7585,1.1500,1,3.73,0.42,6.21,0.645
71.224,-1.4333,20.8678,1.0800,1,2.73,0.42,6.27,0.365
71.988,-1.4426,20.9772,1.0100,1,2.73,0.42,6.27,0.365
72.677,-1.3852,21.0477,0.9400,1,2.01,0.43,0.67,0.235
73.359,-1.3279,21.1182,0.8700,1,2.01,0.43,0.67,0.235
74.226,-1.2563,21.1681,0.8000,1,1.50,0.42,0.48,0.167
74.959,-1.1846,21.2181,0.8700,1,1.50,0.42,0.48,0.167
75.643,-1.0987,21.2515,0.9400,1,1.08,0.34,0.31,0.111
76.461,-1.0278,21.2887,1.0100,1,1.18,0.42,0.32,0.124
77.311,-0.9597,21.3279,1.0800,1,1.23,0.41,0.31,0.131
78.055,-0.8915,21.3672,1.1500,1,1.23,0.41,0.31,0.131
78.699,-0.8341,21.4142,1.2200,1,1.42,0.41,0.32,0.157
79.594,-0.7852,21.4679,1.2900,1,1.59,0.42,0.35,0.179
80.366,-0.7430,21.5238,1.3600,1,1.65,0.42,0.32,0.186
81.140,-0.6831,21.5857,1.4300,1,1.80,0.41,5.63,0.206
82.036,-0.6244,21.6490,1.5000,1,1.83,0.42,5.58,0.211
82.723,-0.5669,21.7199,1.5700,1,2.02,0.43,5.50,0.236
83.550,-0.5091,21.7920,1.6400,1,2.05,0.42,5.44,0.240
84.438,-0.4518,21.8715,1.7100,1,2.24,0.43,5.36,0.265
85.155,-0.3930,21.9528,1.7800,1,2.28,0.42,5.29,0.271
85.935,-0.3334,22.0354,1.8500,1,2.31,0.41,5.22,0.275
86.787,-0.2754,22.1192,1.9200,1,2.35,0.42,5.15,0.280
87.518,-0.2166,22.2054,1.9900,1,2.40,0.42,5.06,0.287
88.409,-0.1577,22.2927,2.0600,1,2.43,0.41,4.99,0.291
89.532,-0.0996,22.3801,2.1300,1,2.43,0.42,4.93,0.291
90.213,-0.0416,22.4675,2.2000,1,2.43,0.42,4.93,0.291
90.920,0.0174,22.5522,2.1300,1,2.37,0.41,4.74,0.282
91.625,0.0763,22.6370,2.0600,1,2.37,0.41,4.74,0.282
92.424,0.1348,22.7160,1.9900,1,2.23,0.42,4.64,0.263
93.150,0.1932,22.7883,1.9200,1,2.06,0.42,4.60,0.241
94.027,0.2499,22.8571,1.8500,1,1.97,0.43,4.56,0.229
94.749,0.3074,22.9198,1.7800,1,1.82,0.43,4.51,0.209
95.495,0.3754,22.9739,1.7100,1,1.60,0.42,4.45,0.180
96.527,0.4564,23.0207,1.6400,1,1.42,0.41,4.43,0.156
97.300,0.5373,23.0674,1.5700,1,1.42,0.41,4.43,0.156
98.017,0.6238,23.1059,1.5000,1,1.21,0.32,0.35,0.128
98.901,0.7191,23.1372,1.4300,1,1.03,0.31,0.32,0.104
99.552,0.8144,23.1686,1.3600,1,1.03,0.31,0.32,0.104
103.732,0.9214,23.1836,1.2900,1,0.80,0.31,0.30,0.050
104.485,1.0284,23.1986,1.2200,1,0.80,0.31,0.30,0.050
105.366,1.1376,23.2136,1.1500,1,0.80,0.30,0.31,0.050
106.083,1.2469,23.2286,1.0800,1,0.80,0.30,0.31,0.050
106.755,1.3550,23.2436,1.0100,1,0.81,0.30,0.30,0.050
107.675,1.4641,23.2586,0.9400,1,0.80,0.30,0.30,0.050
108.388,1.5731,23.2736,0.8700,1,0.80,0.30,0.30,0.050
109.165,1.6776,23.2886,0.8000,1,0.88,0.30,0.30,0.050
110.107,1.7975,23.3036,0.8700,1,0.83,0.32,0.42,0.050
110.823,1.9175,23.3186,0.9400,1,0.83,0.32,0.42,0.050
111.609,2.0292,23.3336,1.0100,1,0.82,0.30,0.33,0.050
112.400,2.1368,23.3486,1.0800,1,0.80,0.31,0.30,0.050
113.392,2.2441,23.3636,1.1500,1,0.82,0.31,0.30,0.050
114.138,2.3513,23.3786,1.2200,1,0.82,0.31,0.30,0.050
121.964,-0.5372,0.3000,1.2700,2,999.00,0.42,4.38,1.000
123.392,-0.5733,0.6000,1.3400,2,999.00,0.41,4.38,1.000
124.303,-0.6086,0.9000,1.4100,2,999.00,0.41,4.38,1.000
124.999,-0.6442,1.2000,1.4800,2,999.00,0.42,4.46,1.000
125.744,-0.6790,1.5000,1.5500,2,999.00,0.42,4.46,1.000
126.431,-0.7124,1.8000,1.6200,2,999.00,0.41,5.46,1.000
127.101,-0.7452,2.1000,1.6900,2,999.00,0.41,5.46,1.000
127.805,-0.7773,2.4000,1.7600,2,999.00,0.41,5.47,1.000
128.593,-0.8087,2.7000,1.8300,2,999.00,0.41,5.47,1.000
129.323,-0.8392,3.0000,1.9000,2,999.00,0.41,4.67,1.000
130.047,-0.8690,3.3000,1.9700,2,999.00,0.41,4.67,1.000
130.729,-0.8987,3.6000,2.0400,2,999.00,0.41,4.72,1.000
131.799,-0.9299,3.9000,2.1100,2,999.00,0.43,5.55,1.000
132.532,-0.9605,4.2000,2.1800,2,999.00,0.43,5.55,1.000
133.431,-0.9903,4.5000,2.2000,2,999.00,0.43,5.60,1.000
134.189,-1.0194,4.8000,2.1300,2,999.00,0.43,5.60,1.000
134.865,-1.0463,5.1000,2.0600,2,999.00,0.42,4.87,1.000
138.958,-1.0726,5.4000,1.9900,2,999.00,0.42,4.87,1.000
139.698,-1.1002,5.7000,1.9200,2,999.00,0.43,4.93,1.000
140.376,-1.1273,6.0000,1.8500,2,999.00,0.43,4.93,1.000
141.197,-1.1528,6.3000,1.7800,2,999.00,0.42,4.99,1.000
142.146,-1.1777,6.6000,1.7100,2,999.00,0.42,5.02,1.000
142.769,-1.2021,6.9000,1.6400,2,999.00,0.42,5.02,1.000
143.734,-1.2277,7.2000,1.5700,2,999.00,0.43,5.94,1.000
144.742,-1.2528,7.5000,1.5000,2,999.00,0.43,5.94,1.000
145.481,-1.2767,7.8000,1.4300,2,999.00,0.43,6.02,1.000
146.166,-1.2992,8.1000,1.3600,2,999.00,0.42,6.05,1.000
146.840,-1.3212,8.4000,1.2900,2,999.00,0.42,6.05,1.000
147.637,-1.3415,8.7000,1.2200,2,999.00,0.41,5.19,1.000
148.346,-1.3614,9.0000,1.1500,2,999.00,0.41,5.20,1.000
149.114,-1.3817,9.3000,1.0800,2,999.00,0.42,5.22,1.000
149.952,-1.4016,9.6000,1.0100,2,999.00,0.42,5.24,1.000
150.702,-1.4215,9.9000,0.9400,2,999.00,0.42,6.24,1.000
151.744,-1.4417,10.2000,0.8700,2,999.00,0.43,6.25,1.000
152.390,-1.4615,10.5000,0.8000,2,999.00,0.43,6.25,1.000
153.396,-1.4799,10.8000,0.8700,2,999.00,0.42,6.28,1.000
154.351,-1.4980,11.1000,0.9400,2,999.00,0.42,6.28,1.000
155.140,-1.5160,11.4000,1.0100,2,999.00,0.42,6.31,1.000
155.829,-1.5336,11.7000,1.0800,2,999.00,0.42,6.31,1.000
156.734,-1.5509,12.0000,1.1500,2,999.00,0.42,6.36,1.000
157.735,-1.5680,12.3000,1.2200,2,999.00,0.42,6.36,1.000
158.425,-1.5841,12.6000,1.2900,2,999.00,0.42,6.41,1.000
159.097,-1.5998,12.9000,1.3600,2,999.00,0.42,6.41,1.000
159.857,-1.6163,13.2000,1.4300,2,999.00,0.43,6.42,1.000
160.650,-1.6325,13.5000,1.5000,2,999.00,0.43,6.42,1.000
161.391,-1.6469,13.8000,1.5700,2,999.00,0.41,6.41,1.000
162.062,-1.6610,14.1000,1.6400,2,999.00,0.41,6.41,1.000
162.790,-1.6754,14.4000,1.7100,2,999.00,0.42,6.42,1.000
163.741,-1.6899,14.7000,1.7800,2,999.00,0.42,6.41,1.000
164.739,-1.7040,15.0000,1.8500,2,999.00,0.42,6.41,1.000
165.425,-1.7197,15.3000,1.9200,2,999.00,0.44,6.41,1.000
166.206,-1.7350,15.6000,1.9900,2,999.00,0.44,6.41,1.000
166.911,-1.7503,15.9000,2.0600,2,999.00,0.44,6.42,1.000
167.760,-1.7653,16.2000,2.1300,2,999.00,0.44,6.42,1.000
